ID,Compound Name,Formula,ESI_Ion_Mode_Plus,ESI_Calcm/z_Plus,ESI_Fragment_ions(m/z)_Plus,ESI_Ion_Mode_Minus,ESI_Calcm/z_Minus,ESI_Fragment_ions(m/z)_Minus,CAS,SMILES,Compound Class,Compound Source,Note,Ref
145,Leonuriside A,C14H20O9,,,,[M-Na]-,322.3224,"345, 322",121748-12-7,O([C@H]1[C@@H]([C@@H](O)[C@H](O)[C@@H](CO)O1)O)C1C(=CC(O)=CC=1OC)OC,Cyclic ether glucosides,Scrophularia ningpoensis,"Qtrap, root",43
146,Aucubin,C15H22O9,,,,[M-Na]-,338.3218,"361, 338",479-98-1,O([C@@]1([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O1)O[H])O[H])O[H])[C@@]1([H])[C@]2([H])C(C([H])([H])O[H])=C([H])[C@]([H])([C@]2([H])C([H])=C([H])O1)O[H],Iridoid glycosides,Scrophularia ningpoensis,"Qtrap, root",43
147,Monomelittoside,C15H22O10,,,,[M-Na]-,500.4624,"523, 500",20633-72-1,O([C@@]1([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O1)O[H])O[H])O[H])[C@@]1([H])[C@]2([H])C(C([H])([H])O[H])=C([H])[C@]([H])([C@@]2(C([H])=C([H])O1)O[H])O[H],Glycoside,Scrophularia ningpoensis,"Qtrap, root",43
148,Rehmannioside A,C21H32O15,,,,[M-H]-,137.0268,"119, 108",81720-05-0,C([C@@]12[C@H]3[C@@H](OC=C[C@H]3[C@H](O)[C@@H]1O2)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)O1)O,Iridoid glycosides,Scrophularia ningpoensis,"Qtrap, root",43
149,Protocatechualdehyde,C7H6O3,,,,[M-H]-,195.0679,"180, 165, 150, 122",139-85-5,O([H])C1=C(C([H])=C([H])C(C([H])=O)=C1[H])O[H],Tea polyphenol,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
150,"3,4,5-Trimethoxybenzaldehyde",C10H12O4,,,,[M-H]-,153.1147,109,86-81-7,,,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
151,Protocatechuic acid,C7H6O4,,,,[M-H]-,517.2356,"385, 223, 205",99-50-3,O([H])C1=C(C([H])=C([H])C(C(=O)O[H])=C1[H])O[H],Phenols,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
152,Vomifoliol 9－ O－ β－ D－ apiofuranosyl－ ( 1→6)－β－D－glucopyranoside,C24H38O12,,,,[M-H]-,149.0263,"121, 93",,,,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
153,4-hydroxyisophthalaldehyde,C8H6O3,,,,[M-H]-,151.1419,"136, 108",,,,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
154,Vanilloyl calleryanin,C8H8O3,,,,[M-H]-,447.3715,"301, 271, 255",121-33-5,O(C([H])([H])[H])C1=C(C([H])=C([H])C(C([H])=O)=C1[H])O[H],Aromatic,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
155,Quercitrin,C21H20O11,,,,[M-H]-,543.1319,"525, 135",522-12-3,O1[C@]([H])([C@@]([H])([C@@]([H])([C@]([H])([C@]1([H])C([H])([H])[H])O[H])O[H])O[H])OC1C(C2=C(C([H])=C(C([H])=C2OC=1C1C([H])=C([H])C(=C(C=1[H])O[H])O[H])O[H])O[H])=O,Flavonoids,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
156,Epiafzelechin－ ( 2β→O→7，4β→8)－afzelechin,C30H24O10,,,,[M-H]-,269.2315,"241, 213, 133",,,,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
157,Sulfuretin,C15H10O5,,,,[M-H]-,269.1886,"241, 213, 197",120-05-8,O=C1/C(OC2=CC(O)=CC=C12)=C/C3=CC=C(O)C(O)=C3,Flavonoids,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
158,Nasutin A,C14H6O6,,,,[M-H]-,315.2569,"300, 272",,C1=C（C=C2C3=C1C（=O）OC4=CC（=CC（=C43）C（=O）O2）O）O,,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
159,Isorhamnetin,C16H12O7,,,,[M-H]-,301.2734,"286, 268",480-19-3,O1C2=C([H])C(=C([H])C(=C2C(C(=C1C1C([H])=C([H])C(=C(C=1[H])OC([H])([H])[H])O[H])O[H])=O)O[H])O[H],Flavonoids,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
160,Hesperetin,C16H14O6,,,,[M-H]-,285.274,"270, 241",520-33-2,O1C2=C([H])C(=C([H])C(=C2C(C([H])([H])[C@@]1([H])C1C([H])=C([H])C(=C(C=1[H])O[H])OC([H])([H])[H])=O)O[H])O[H],Flavonoids,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
161,5，4'－dihydroxy-7－methoxyflavanone,C16H14O5,,,,[M-H]-,601.1379,"557, 542",,,,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
162,Artoheterone B,C32H26O12,,,,,,,,,Flavonoids,"Trichosanthes kirilowii, Trichosanthes rosthornii",seed,45
163,"9,12-Octadecadienoicacid",C18H32O2,[M+H]+,281.4509,"263, 245, 189, 175, 147, 133, 109",,,,2197-37-7,CCCCCC=CCC=CCCCCCCCC(=O)O,Fatty acid,Cannabis sativa,fruit,46
164,Cannabidiol,C21H30O2,[M+H]+,315.5054,"315, 273, 259, 193, 123",,,,13956-29-1,CCCCCC1=CC（=C（C（=C1）O）[C@@H]2C=C（CC[C@H]2C（=C）C）C)O,Phenylpropanoids,Cannabis sativa,fruit,46
165,Trigonelline,C7H7NO2,[M+H]+,138.1454,"94, 79",,,,535-83-1,C[N+]1=CC(C([O-])=O)=CC=C1,Alkaloids,Cannabis sativa,fruit,46
166,N-(2-(4-hydroxyphenyl) -2-methoxyethyl) carnitylamine,C18H19NO3,[M+Na]+,320.3382,"174, 146, 128",,,,,O=CC(CNC(=O)/C=C/C1=CC=CC=C1)C1=CC=C(O)C=C1,Alkaloids,Cannabis sativa,fruit,46
167,α-Linolenic acid,C18H30O2,[M+H]+,279.437,"279, 123, 109",,,,463-40-1,O([H])C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])[H])=O,Fatty acid,Cannabis sativa,fruit,46
168,Coumaramido-butanol glucoside,C19H21NO8,[M+H]+,392.3793,"398, 147, 119",,,,,,Alkaloids,Cannabis sativa,fruit,46
169,Adenosine,C10H13N5O4,[M+H]+,268.2487,"268, 136, 119",,,,58-61-7,O1[C@]([H])(C([H])([H])O[H])[C@]([H])([C@]([H])([C@]1([H])N1C([H])=NC2=C(N([H])[H])N=C([H])N=C12)O[H])O[H],Alkaloids,Cannabis sativa,fruit,46
170,Oleic acid,C18H34O2,[M+H]+,283.4688,"283, 265, 247, 205, 191, 177, 149, 135, 121",,,,112-80-1,O([H])C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=O,Fatty acid,Cannabis sativa,fruit,46
171,II-NOR-9-TETRAHYDROCANNABINOL-9-CARBOXYL IC ACID (THC-COOH) (5,C22H30O4,[M+H]+,359.4786,"359, 341, 299, 285, 261, 243, 233, 219",,,,23978-85-0,CCCCCC1=CC2=C（[C@@H]3C=C（CC[C@H]3C（O2）（C）C）C）C（=C1C（=O）O）O,Phenylpropionic acid,Cannabis sativa,fruit,46
