ID,Compound Name,Formula,ESI_Ion_Mode_Plus,ESI_Calcm/z_Plus,ESI_Fragment_ions(m/z)_Plus,ESI_Ion_Mode_Minus,ESI_Calcm/z_Minus,ESI_Fragment_ions(m/z)_Minus,CAS,SMILES,Compound Class,Compound Source,Note,Ref
17,Paeoniflorin,C23H26O10,,,,[M-H]-,193.0506,"178,149,133,106,89",23180-57-6,C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,Monoterpenoids,White Peony Root,Dried root,12
18,Ferulic acid,C10H10O4,,,,[M-H]-,445.0585,"269, 175, 113",1135-24-6,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Phenylpropanoids compounds,Chinese Angelica,Dried root,5
19,Baicalin,C21H18O11,,,,,,,21967-41-9,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,Flavonoids,Baikal Skullcap Root,Dried root,13
20,Cinnamaldehyde,C9H8O,[M+H]+,135.0632,104,,,,104-55-2,C1=CC=C(C=C1)/C=C/C=O,Aldehydes,Cortex Cinnamomi,Stem bark,14
21,Arecoline,C8H13NO2,[M+H]+,154.0982,145.13,[M-H]-,167.0096,125,53-18-9,CN1CCC=C(C1)C(=O)OC,Alkaloids,Semen Arecae,Seed,15
22,Gallic acid,C7H6O5,,,,[M-H]-,879.4704,883837,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,Phenolic acids,Radix Sanguisorbae,Root,16
23,Pulsatilla saponin B4,C57H92O26,,,,[M-H]-,353.0717,191,84605-10-5,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,Saponins,Radix Pulsatillae,Root,
24,Chlorogenic acid,C16H18O9,,,,[M-H]-,461.0717,301,327-97-9,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Phenolic acids,Flos Lonicerae,Flower,17
25,Cynaroside,C21H20O11,,,,,,,1268798,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,Flavonoids,Flos Lonicerae,Flower,18
26,Raffinose,C18H32O16,[M+H]+,433.1887,,,,,512-69-6,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,Carbohydrates,Semen Nelumbinis,Seed,25
27,Diosgenin,C27H42O3,[M+H]+,413.3077,"397, 271, 253",,,,512-04-9,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,Steroids,Rhizoma Dioscoreae,Rhizome,19
28,Ginsenosides,C42H72O14,[M+H]+,1131.5837,,[M-H]-,879.4704,891845,22427-39-0,CC(=CCCC(C)([C@H]1CC[C@@]2(C1CC[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C,Triterpene saponins,Ginseng,Root of Ginseng,20
29,Dioscin,C51H82O21,,,,[M-H]-,1129.5677,"681, 1091, 469, 519",512-04-9,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C)OC1,Saponins,White Hyacinth Bean,Seed,23
30,Platycodin,C57H92O25,,,,,,,55056-80-9,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@H]6[C@]([C@@]5(C[C@H]4O)C)(CC[C@@H]7[C@@]6(C[C@@H]([C@@H](C7(CO)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O[C@H]1[C@@H]([C@](CO1)(CO)O)O)O,Saponins,Platycodon Root,Root,21
31,Coixol,C18H36O4,[M+H]+,257.1097,191,,,,508-02-1,COC1=CC2=C(C=C1)NC(=O)O2,Esters,Coix Seed,Seed,22
32,Schisandrin,C23H32O6,[M+H]+,245.1097,399.384,,,,7432-28-2,CC1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3CC1(C)O)OC)OC)OC)OC)OC)OC,Lignans,Chinese Magnoliavine Fruit,Fruit,24
33,Myristicin,C11H12O3,[M+H]+,306.1307,191,,,,607-91-0,COC1=CC(=CC2=C1OCO2)CC=C,Phenylpropanoids,Nutmeg,Seed,
34,Evodiamine,C19H17N3O,[M+H]+,304.1147,"286, 171, 161, 144, 134",,,,118-08-1,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,Alkaloids,Evodiae Fructus,Fruit,25
35,Rutaecarpine,C18H13N3O,[M+H]+,306.1307,286.272,[M-H]-,607.1696,303,1063-77-0,C1CN2C(=NC3=CC=CC=C3C2=O)C4=C1C5=CC=CC=C5N4,Alkaloids,Evodiae Fructus,Fruit,
36,Hesperidin,C28H34O115,,,,[M-H]-,537.1606,387,520-26-3,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,Flavonoids,Citri Reticulatae Pericarpium,Pericarp,26
37,Prim-O-glucosylcimifugin,C22H28O11,,,,[M-H]-,537.1606,813,84244-35-9,CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Coumarins,Saposhnikoviae Radix,Root,12
38,4'-O-beta-D-glucosyl-5-O-methylvisammioside,C22H28O10,,,,,,,53144-34-0,CC1=CC(=O)C2=C(C3=C(C=C2O1)OC(C3)C(C)(C)OC4C(C(C(C(O4)CO)O)O)O)OC,Coumarins,Saposhnikoviae Radix,Root,9
39,Berberine,C20H18CLNO4,[M+H]+,285.1386,320,[M-H]-,,191,2086-83-1,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,Alkaloids,Phellodendri Chinensis Cortex,Bark,8
40,Esculin,C15H16O9,,,,[M-H]-,165.0196,137,531-75-9,C1=CC(=O)OC2=CC(=C(C=C21)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,Coumarins,Fraxini Cortex,Bark,9
41,Aesculetin,C9H6O4,,,,,,,574-84-5,C1=CC(=O)OC2=CC(=C(C=C21)O)O,Coumarins,Fraxini Cortex,Bark,7
42,Agrimophol,C26H34O8,[M+H]+,285.1386,247,[M-H]-,191.0236,147,5573-18-8,CCCC(=O)C1=C(C(=C(C(=C1O)C[C@]2(C(=C(C(=C(C2=O)C(=O)[C@H](C)CC)O)C)O)C)O)C)OC,Phenols,Agrimoniae Herba,Aerial parts,25
43,Citric acid,C6H8O7,,,,[M-H]-,167.0096,125,77-92-9,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Organic acids,Mume Fructus,Fruit,9
44,Gallic acid,C7H6O5,,,,[M-H]-,301.0353,"301,45",149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,Phenolic acids,Sanguisorbae Radix,Root,7
45,Quercetin,C15H10O7,,,,,,,117-39-5,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Flavonoids,Euphorbiae Humifusae Herba,Herb,22
46,Peimine,C27H41NO3,[M+H]+,470.3046,476.458,[M-H]-,337.1116,,619-58-9,C[C@H]1CC[C@H]2[C@@]([C@H]3CC[C@@H]4[C@H]([C@@H]3CN2C1)C[C@H]5[C@H]4C[C@@H]([C@@H]6[C@@]5(CC[C@@H](C6)O)C)O)(C)O,Alkaloids,Fritillariae Cirrhosae Bulbus,Bulb,7
47,Gastrodin,C14H18O7,[M+H]+,339.1276,255.237,[M-H]-,167.0096,125,62499-27-8,C1=CC(=CC=C1CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,Phenolic glycosides,Bletillae Rhizoma,Rhizome,8
48,Gallic acid,C7H6O5,,,,,,,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,Phenolic acids,Ampelopsis Radix,Root,22
49,Matrine,C15H24N2O,[M+H]+,268.1836,98.136,[M-H]-,227.0626,,519-02-8,C1C[C@@H]2[C@H]3CCCN4[C@H]3[C@@H](CCC4)CN2C(=O)C1,Alkaloids,Sophorae Flavescentis Radix,Root,8
50,Resveratrol,C14H12O3,[M+H]+,229.0786,211.193,,,,501-36-0,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Phenolic compounds,Draconis Sanguis,Resin,20
51,Asarinin,C12H16O3,[M+H]+,285.1166,287.273,,,,2883-98-9,C1[C@@H]2[C@@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@@H](O1)C5=CC6=C(C=C5)OCO6,Lignans,Asari Radix et Rhizoma,Root and rhizome,18
52,Mesaconitine,C33H45NO11,[M+H]+,646.2936,628.61,,,,35812-46-9,CC(=O)O[C@@]12[C@@H]3[C@@H](C[C@@]([C@@H]3OC(=O)C4=CC=CC=C4)([C@H]([C@@H]1O)OC)O)[C@]56[C@H](C[C@H]([C@@]7([C@H]5[C@H]([C@H]2C6N(C7)C)OC)COC)O)OC,Alkaloids,Aconiti Lateralis Radix Praeparata,root,21
53,Cinnamaldehyde,C9H8O,[M+H]+,133.0632,104,[M-H]-,1219.611,,104-55-2,C1=CC=C(C=C1)/C=C/C=O,Aldehydes,Cinnamomi Ramulus,Twig,7
54,Hederacoside C,C57H92O26,,,,[M-H]-,,,465-99-6,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)[C@@]45CC[C@@]6(C(=CC[C@H]7[C@]6(CC[C@@H]8[C@@]7(CC[C@@H]([C@@]8(C)CO)O[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)C)C)[C@@H]4CC(CC5)(C)C)C)O)O)O)CO)O)O)O,Saponins,Codonopsis Radix,Root,13
55,Triterpenoids,C30H48O3,,,,[M-H]-,419.0472,301169,508-02-1,C[C@@]12CC[C@]3(CCC(C[C@H]3C1=CC[C@H]4[C@]2(CC=C5[C@@]4(C[C@@H]([C@@H]([C@@]5(C)O)O)O)C)C)(C)C)C(=O)O,Triterpenoids,Portulacae Herba,Herb,22
56,Gallotannin,C76H52O46,,,,,,,1401-55-4,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Tannins,Galla Chinensis,Gall,12
57,Amygdalin,C20H27NO11,[M+H]+,458.1766,440.422,,,,29883-15-6,C1=CC=C(C=C1)[C@H](C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,Glycosides,Persicae Semen,Seed,20
58,Sinapine thiocyanate,,[M+H]+,296.4072,317.299,,,,5588-33-2,C[N+](C)(C)CCOC(=O)/C=C/C1=CC(=C(C(=C1)OC)O)OC.C(#N)[S-],Alkaloids,Fructus Raphani Praeparatus,Seed,18
59,Naringin,C27H32O14,,,,,,,10236-47-2,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,Flavonoids,Citri Sarcodactylis Fructus,Fruit,6
60,Cyperene,C15H24,[M+H]+,205.35,189,,,,483-76-1,C[C@@H]1CC[C@@H]2CC3=C(CC[C@]13C2(C)C)C,Terpenoids,Cyperi Rhizoma Praeparatum,Rhizome,7
61,Hesperidin,C28H34O15,[M+H]+,611.09,303327,,,,520-26-3,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,Flavonoids,Aurantii Fructus Praeparatu,Fruit,20
62,Paeoniflorin,C23H28O11,[M+H]+,445.47,341381,,,,23180-57-6,C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,Monoterpene glycosides,Paeoniae Radix,Root,4
63,Har Gabur,,,,,[M-H]-,169.0142,124， 125,,,,har gabur,,"27, 28, 33, 43, 49"
64,Gallic acid,C7H6O5,[M+H]+,171.0287,"127, 109",[M-H]-,300.999,"283, 257, 229, 185",149-91-7,OC(=O)C1=CC(O)=C(O)C(O)=C1,Gallic acids,Bistorta officinalis,standard,"27, 28, 33, 39, 43, 45, 49"
65,Ellagic acid,C14H6O8,[M+H]+,303.0135,"303,  275, 257",[M-H]-,109.0295,"108, 109, 81, 91",476-66-4,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,Tannins,Bistorta officinalis,QQQ，,"27, 28, 33, 39, 43, 45, 49"
66,Catechol,C6H6O2,[M+H]+,111.044,"111, 109, 93, 81",[M-H]-,289.0718,"289, 245",120-80-9,OC1=CC=CC=C1O,Catechols,Bistorta officinalis,standard,"27, 28, 33, 39, 43, 45, 49"
67,Epicatechol,C15H14O6,[M+H]+,291.0863,"207, 206, 179, 165",,,,"17334-50-8, 490-46-0",Oc(c3)c(O)cc(c3)[C@H](O1)[C@@H](O)Cc(c(O)2)c(cc(O)c2)1,"Flavonoid,  Flavanol , Epicatechin",Bistorta officinalis,"QQQ, STANDARD","27, 28, 33, 39, 43, 45, 49"
68,6-galloylglucose,C13H16O10,,,,,,,13186-19-1,C1=C(C=C(C(=C1O)O)O)C(=O)C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,gallotannin,Bistorta officinalis,,"27, 28, 33, 39, 43, 45, 49"
69,"3,6-digalloyl glucose",C20H20O14,,,,[M-H]-,179.0562,"101, 89, 72, 59",,C1=C(C=C(C(=C1O)O)O)C(=O)C([C@H]([C@H]([C@]([C@H](C=O)O)(C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O)O,,Bistorta officinalis,,"27, 28, 33, 39, 43, 45, 49"
70,Glucose,C6H12O6,,,,,,,50-99-7,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,Sweetening Agents,Bistorta officinalis,,"27, 28, 33, 39, 43, 45, 49"
71,Citral,C10H16O,,,,,,,5392-40-5,CC(=CCC/C(=C/C=O)/C)C,monoterpenoid,Dracocephalum moldavica,,"27, 28, 33, 37, 43, 45"
72,Geraniol,C10H18O,[M+H-H2O]+,137.1325,"137, 136, 95, 81, 79",,,,6736-42-8;106-24-1,CC(=CCC/C(=C/CO)/C)C,Linear monoterpenes,Dracocephalum moldavica,,"27, 28, 33, 37, 43, 45"
73,"Cis-3,7-Dimethyl-2,6-octadienol",C10H18O,,,,[M-H]-,149.0973,"151, 150, 149, 108",106-25-2,,,Dracocephalum moldavica,,"27, 28, 33, 37, 43, 45"
74,Thymol,C10H14O,[M+H]+,151.1118,"151, 123, 109",[M-H]-,,"152, 108",89-83-8,CC1=CC(=C(C=C1)C(C)C)O,Monoterpenes,Dracocephalum moldavica,,"27, 28, 33, 37, 43, 45"
75,Vanillic acid,C8H8O4,,,,,,,121-34-6,COC1=C(C=CC(=C1)C(=O)O)O,Ranunculaceae Juss.,"Aconitum tangutzcum, Aconitum naviculare",,"37, 43"
76,Nylon 6,(C6H11NO)n,,,,,,,25038-54-4,,,"Aconitum tangutzcum, Aconitum naviculare",,"37, 43"
77,PSX012,C54H66O31,,,,[M-H]-,391.2926,"391, 345, 347",,,,"Aconitum tangutzcum, Aconitum naviculare",,"37, 43"
78,Deoxycholic acid,C24H40O4,[M+H]+,393.2926,113,,,,83-44-3,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,Gastrointestinal Agents,Fel Ursi,,"27, 37, 38, 43"
79,alantolactone,C15H20O2,[M+H]+,233.1536,"131, 129, 115, 103, 105",,,,"546-43-0, 1407-14-3",C[C@H]1CCC[C@]2(C1=C[C@H]3[C@@H](C2)OC(=O)C3=C)C,Polycyclic Sesquiterpenes,Zangmuxiang,,"27, 44"
80,Agarospirol,C15H26O,,,,,,,1460-73-7,C[C@@H]1CCC=C([C@@]12CC[C@H](C2)C(C)(C)O)C,Sesquiterpenes,Aquilaria,,"37, 45"
81,Linalool,C10H18O,[M+H]+,155.143,"95, 81, 71, 69",,,,78-70-6,CC(O)(C=C)CCC=C(C)C,Monoterpenes,Aquilaria,,"37, 45"
82,Friedelanol,C30H52O,,,,,,,5085-72-3,CC1C(CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C)O,Triterpenes,Aquilaria,,"37, 45"
83,,,,,,,,,,,,,,
84,Cymarigenen,C23H32O6,,,,,,,66-28-4,CC12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5(C3(CCC(C5)O)C=O)O,cardenolides,Semen Descurainiae,,45
85,Helveticoside,C29H42O9,,,,,,,630-64-8,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O,Strophanthins,Semen Descurainiae,,45
86,Betulinic acid（BA）,C30H48O3,,,,,,,472-15-1,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CCC4(C)[C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,,Forsythia suspensa,,"31, 33, 37, 39, 43, 49"
87,Sitosterol,C29H50O,[M+H]+,415.3934,"119, 91, 79",[M-H]-,463.0083,"465, 464, 303, 302",83-46-5,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,Sitosterols,Ophiopogon japonicus,,"31, 33, 37, 39, 43, 49"
88,Hyperoside,C21H20O12,[M+H]+,465.1028,"305, 304",[M-H]-,447.0934,"447, 301, 271, 255","482-36-0, 21637-25-2",C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,Flavonols,Koenigia divaricata,,49
89,Quercitrin,C21H20O11,[M+H]+,449.1079,"431, 413, 369, 345 303",[M-H]-,285.0405,"285, 164, 119, 97",522-12-3,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,Flavonols,Koenigia divaricata,,49
90,Kaempferol,C15H10O6,[M+H]+,287.055,"287, 167, 147, 119",[M-H]-,317.0304,"317, 316, 300, 290, 289, 271",520-18-3,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,Flavonols,Koenigia divaricata,,49
91,Myricetin,C5H10O8,[M+H]+,319.0449,"319, 318, 302, 301, 292, 285",[M-H]-,305.0668,"165, 139, 137, 125",529-44-2,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Flavonoids,Koenigia divaricata,,49
92,Epigallocatechol,C15H14O7,[M+H]+,307.0813,"289, 181, 169",[M-H]-,305.0668,"139, 137, 125, 124",970-74-1,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,Benzopyrans,Koenigia divaricata,,49
93,Gallocatechol,C15H14O7,,,,,,,"970-73-0, 1617-55-6",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,Benzopyrans,Koenigia divaricata,,49
94,Gypsum,CaSO4·2H2O,,,,,,,10101-41-4,,,Gypsum,,"33, 49"
95,Borax,Na2[B4O5(OH)4]·8H2O,,,,,,,1303-96-4,,,Borax,,50
96,Asarone,C12H16O3,,,,,,,"2883-98-9, 494-40-6",C/C=C/C1=CC(=C(C=C1OC)OC)OC,Phenyl Ethers,Acorus calamus,,"28, 43, 51"
97,Sodium Carbonate Decahydrate,CH20Na2O13,,,,,,,"6132-02-1, 24551-51-7",C(=O)([O-])[O-].O.O.O.O.O.O.O.O.O.O.[Na+].[Na+],Carbonic Acid,Sodium Carbonate Decahydrate,,48
98,Momordic acid,C30H46O4,,,,,,,14356-51-5,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C(=O)C[C@@H](C3(C)C)O)C,Triterpenes,Momordica cochinchinensis,,"27, 33, 37, 38"
99,Gypsogenin,C30H46O4,,,,,,,639-14-5,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C=O)O,Saponins,Momordica cochinchinensis,,"27, 33, 37, 38"
100,CamPhor,C10H16O,[M+H]+,153.1274,"81, 80, 79",,,,"464-48-2, 76-22-2, 464-49-3, 21368-68-3",CC1(C2CCC1(C(=O)C2)C)C,Ketones,FructusCoriandri,,33
101,Dipentene,C10H16,[M+H]+,137.1325,"91, 55",,,,"138-86-3, 5989-27-5, 7705-14-8, 8016-20-4, 9003-73-0",CC1=CCC(CC1)C(=C)C,Monoterpenes,FructusCoriandri,,33
102,Decanal,C10H20O,[M+H]+,157.1587,"157, 101",,,,"112-31-2, 112-81-2",CCCCCCCCCC=O,Aldehydes,FructusCoriandri,,33
103,p-cymene,C10H14,,,,,,,"99-87-6, 4939-75-7",CC1=CC=C(C=C1)C(C)C,Cymenes,Amomum tsaoko,,"27, 37"
104,nerolidol,C15H26O,[M+H]+,223.2057,"225, 223",,,,"7212-44-4, 40716-66-3, 142-50-7",CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,Sesquiterpenes,Amomum tsaoko,,"27, 37"
105,Atisine,C22H33NO2,,,,,,,466-43-3,C[C@@]12CCC[C@@]3([C@@H]1CC[C@]45[C@H]3C[C@H](CC4)C(=C)[C@H]5O)[C@H]6N(C2)CCO6,Diterpene Alkaloids,Aconitum naviculare,,"37, 43"
106,Heteratisine,C22H33NO5,[M+H]+,392.2432,"392, 391, 360, 342",,,,,CCN1CC2(CCC(C34C2C(C(C31)C5(CCC6CC4C5C(=O)O6)O)O)OC)C,Diterpene Alkaloids,Aconitum naviculare,QQQ,"37, 43"
107,Benzoylheteratisine,C29H37NO6,[M+H]+,496.2694,"496, 495, 342, 341",,,,99759-48-5,CCN1C[C@@]2(CC[C@@H](C34[C@@H]2[C@@H](C(C31)[C@]5(CC[C@H]6CC4C5C(=O)O6)O)OC(=O)C7=CC=CC=C7)OC)C,Diterpene Alkaloids,Aconitum naviculare,QQQ,"37, 43"
108,Tanwusine,C20H27NO3,,,,,,,34692-47-2,C[C@@]12C[C@@H](CC34[C@@H]1[C@H]5CC67[C@H]3[C@H]([C@H](CC6C4N5C2)C(=C)[C@@H]7O)O)O,Diterpene Alkaloids,Aconitum naviculare,,"37, 43"
109,Hordenine,C10H15NO,[M+H]+,166.1227,"166, 122, 121, 93, 97",[M-H]-,353.0879,"192, 191, 179, 161","539-15-1, 3595-05-9",CN(C)CCC1=CC=C(C=C1)O,Biogenic Monoamines,Aconitum naviculare,,"37, 43"
110,Chlorogenic acid,C16H18O9,[M+H]+,355.1024,"164, 163, 145",[M-H]-,121.0296,"121, 93, 77","327-97-9, 202650-88-2",C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Phenylpropanoids,Saxifraga umbellulata,,27
111,Benzoicacid,C7H6O2,[M+H]+,123.0441,"123, 120, 77",[M-H]-,153.0194,"153, 109, 108",65-85-0,C1=CC=C(C=C1)C(=O)O,Food Additives,Faeces Trogopterori,,"27, 28, 33, 34, 37, 38, 42, 43, 45, 49"
112,Protocatechuicacid,C7H6O4,,,,,,,99-50-3,C1=CC(=C(C=C1C(=O)O)O)O,Hydroxybenzoates,Faeces Trogopterori,,"27, 28, 33, 34, 37, 38, 42, 43, 45, 49"
113,Allantoin,C4H6N4O3,[M+H]+,159.0513,"159, 158, 116",,,,97-59-6,C1(C(=O)NC(=O)N1)NC(=O)N,Amides,Faeces Trogopterori,,"27, 28, 33, 34, 37, 38, 42, 43, 45, 49"
114,L-tyrosine,C9H11NO3,,,,[M-H]-,455.3531,"591, 524, 456, 455,457, 454","60-18-4, 25619-78-7, 556-03-6",C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,Amino Acids,Faeces Trogopterori,,"27, 28, 33, 34, 37, 38, 42, 43, 45, 49"
115,Ursolicacid,C30H48O3,,,,,,,,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,Triterpenes,Faeces Trogopterori,,"27, 28, 33, 34, 37, 38, 42, 43, 45, 49"
116,Tormenticacid,C30H48O5,,,,,,,13850-16-3,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5(C)C)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O,Triterpenes,Faeces Trogopterori,,"27, 28, 33, 34, 37, 38, 42, 43, 45, 49"
